step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
24555,2023-07-03 14:18:57.836041707,2,192.9,1.0,-0.14388639102150788,0.12699109102150788,0.0,0.0168953
24558,2023-07-03 14:18:57.836041707,2,192.9,1.0,-0.1197924761285975,0.09836687612860205,0.0049999999999954525,0.0164256
24561,2023-07-03 14:19:01.030610920,2,192.89,1.0,-0.10819571803556405,0.08031621803554471,0.010000000000019327,0.0178795
24562,2023-07-03 14:19:01.030610920,1,192.89,1.0,-0.0532777182043209,0.025398218204301576,0.010000000000019327,0.0178795
24563,2023-07-03 14:19:01.030610920,2,192.89,1.0,-0.2818616820430351,0.25398218204301576,0.010000000000019327,0.0178795
24564,2023-07-03 14:19:01.030610920,1,192.89,1.0,-0.052159118204292476,0.025398218204301576,0.009999999999990905,0.0167609
24568,2023-07-03 14:19:01.173624605,2,192.88,1.0,-0.12179233075501228,0.09503143075502138,0.009999999999990905,0.0167609
24569,2023-07-03 14:19:01.205390081,1,192.88,1.0,-0.05236481820429248,0.025398218204301576,0.009999999999990905,0.0169666
24573,2023-07-03 14:19:01.205390081,1,192.88,1.0,-0.052867418204292485,0.025398218204301576,0.009999999999990905,0.0174692
24574,2023-07-03 14:19:01.205390081,2,192.88,1.0,-0.052867418204292485,0.025398218204301576,0.009999999999990905,0.0174692
24575,2023-07-03 14:19:01.205390081,1,192.88,1.0,-0.13481421393389448,0.10775551393390358,0.009999999999990905,0.0170587
24579,2023-07-03 14:19:01.330154938,1,192.88,1.0,-0.2598372148764256,0.2327785148764347,0.009999999999990905,0.0170587
24582,2023-07-03 14:19:01.330189852,1,192.88,1.0,-0.27041378204301575,0.25398218204301576,0.0,0.0164316
24585,2023-07-03 14:19:04.458449540,2,192.885,1.0,-0.11345707804102773,0.09157457804103226,0.0049999999999954525,0.0168825
24586,2023-07-03 14:19:04.458990777,1,192.885,1.0,-0.27578538204301123,0.25398218204301576,0.0049999999999954525,0.0168032
24588,2023-07-03 14:19:04.458990777,2,192.88,1.0,-0.38598824644633617,0.35918504644634525,0.009999999999990905,0.0168032
24589,2023-07-03 14:19:04.458990777,1,192.88,1.0,-0.15379429102149877,0.12699109102150788,0.009999999999990905,0.0168032
24591,2023-07-03 14:19:04.458990777,2,192.88,1.0,-0.10796651803553561,0.08031621803554471,0.009999999999990905,0.0176503
24592,2023-07-03 14:19:04.458990777,1,192.88,1.0,-0.28163248204300667,0.25398218204301576,0.009999999999990905,0.0176503
24595,2023-07-03 14:19:06.857899867,2,192.89,1.0,-0.1672149852452212,0.15025788524522118,0.0,0.0169571
24596,2023-07-03 14:19:06.857899867,1,192.89,1.0,-0.27093928204301576,0.25398218204301576,0.0,0.0169571
24598,2023-07-03 14:19:06.925792753,1,192.9,1.0,-0.2711830820430158,0.25398218204301576,0.0,0.0172009
24608,2023-07-03 14:19:06.931975491,2,192.91,1.0,-0.09903790928925997,0.07183700928926906,0.009999999999990905,0.0172009
